Area,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Amwaj Islands,26.2947431,50.666445,Ya Hala,26.292530071085725,50.6649112701416,Mediterranean Restaurant
Amwaj Islands,26.2947431,50.666445,Laguna Cafe,26.29046687164794,50.66386507108576,Café
Amwaj Islands,26.2947431,50.666445,Persian Room,26.28972115738587,50.663895465864194,Restaurant
Amwaj Islands,26.2947431,50.666445,yara gril,26.28931571893503,50.6646654718341,Middle Eastern Restaurant
Amwaj Islands,26.2947431,50.666445,Sarai Beirut Arabic Restaurant,26.28944567154259,50.66455547047507,Middle Eastern Restaurant
Amwaj Islands,26.2947431,50.666445,Seafood Hackers,26.2891,50.664592,Seafood Restaurant
Amwaj Islands,26.2947431,50.666445,Bahrain Fish,26.289326992928185,50.66453375961601,Restaurant
Amwaj Islands,26.2947431,50.666445,curry tree restaurant & cafe,26.28898871983797,50.66446283776705,Indian Restaurant
Amwaj Islands,26.2947431,50.666445,ساري,26.290205979615216,50.66466040597445,Middle Eastern Restaurant
Amwaj Islands,26.2947431,50.666445,مسايا,26.28938,50.664211,Middle Eastern Restaurant
Amwaj Islands,26.2947431,50.666445,Curry Tree,26.288995292951363,50.663854939496225,Indian Restaurant
Amwaj Islands,26.2947431,50.666445,Lemon (ليمون),26.28994762102673,50.664551140068966,Café
Amwaj Islands,26.2947431,50.666445,DOME Amwaj,26.289063148980677,50.66415706732388,Diner
Amwaj Islands,26.2947431,50.666445,Sarai (سراي),26.28936591252632,50.66431592847804,Turkish Restaurant
Amwaj Islands,26.2947431,50.666445,Dairy Queen Grill & Chill,26.297869946460022,50.662639160641454,Burger Joint
Arad,26.2512038,50.6326852,Kiwi Garden,26.255226,50.631555,Juice Bar
Arad,26.2512038,50.6326852,1977 Karak,26.255668741868813,50.63276238962638,Tea Room
Arad,26.2512038,50.6326852,كرك السبعينات,26.255658271163064,50.63277246071802,Café
Arad,26.2512038,50.6326852,Razan,26.255098106818938,50.630632140686565,Diner
Arad,26.2512038,50.6326852,39eer time,26.254861,50.629503,Juice Bar
Arad,26.2512038,50.6326852,diyar hidd grilis (مشويات ديار الحد),26.255752,50.633846,Kebab Restaurant
Arad,26.2512038,50.6326852,Ice Town Juices,26.255911,50.633935,Ice Cream Shop
Arad,26.2512038,50.6326852,King Karak,26.256181634617448,50.63456418136748,Coffee Shop
Arad,26.2512038,50.6326852,Shawarma Graphics,26.25586,50.63279,Fast Food Restaurant
Arad,26.2512038,50.6326852,Al Qadhi Bakery (مخبز القاضي),26.25458,50.629096,Bakery
Arad,26.2512038,50.6326852,Beefies Burger,26.254888,50.630668,Burger Joint
Arad,26.2512038,50.6326852,كافيه كولومبوس,26.25215,50.62789,Café
Arad,26.2512038,50.6326852,Dream Land Arad Road,26.2549,50.629651,Ice Cream Shop
Arad,26.2512038,50.6326852,Baskin Robins,26.2521355710612,50.63720946278465,Ice Cream Shop
Arad,26.2512038,50.6326852,Charley's,26.255188571188988,50.63139667455827,Fast Food Restaurant
Arad,26.2512038,50.6326852,the juice river,26.256355229942645,50.63362957200821,Juice Bar
Arad,26.2512038,50.6326852,Green Apple Arad,26.254811,50.629176,Juice Bar
Arad,26.2512038,50.6326852,Em Nah Nah,26.25581,50.633148,Diner
Arad,26.2512038,50.6326852,Adam Oven & Brosted,26.25553601036988,50.63283969441288,Middle Eastern Restaurant
Arad,26.2512038,50.6326852,مشويات جنة اسطنبول,26.256294,50.634592,Restaurant
Arad,26.2512038,50.6326852,بو راغب,26.25523,50.63087,Restaurant
Arad,26.2512038,50.6326852,Burger Town,26.255474587330852,50.63202686826149,Burger Joint
Arad,26.2512038,50.6326852,Abul houl,26.25546,50.63253,Sandwich Place
Arad,26.2512038,50.6326852,Sombosaty Al Mothalatha,26.256191,50.634661,Indian Restaurant
Arad,26.2512038,50.6326852,Sambosati,26.256232,50.634772,Restaurant
Arad,26.2512038,50.6326852,مشويات الجابرية التركية,26.255925,50.633808,Middle Eastern Restaurant
Arad,26.2512038,50.6326852,La Pasta,26.255747,50.633582,Italian Restaurant
Arad,26.2512038,50.6326852,كشري باشا,26.252155,50.628765,African Restaurant
Arad,26.2512038,50.6326852,My pizza,26.255357,50.63222863711417,Pizza Place
Arad,26.2512038,50.6326852,ركن الكنافة,26.256238402858557,50.63466250391066,Bakery
Arad,26.2512038,50.6326852,بيت الدونت,26.255959,50.63364,Donut Shop
Arad,26.2512038,50.6326852,Sweet Loco,26.256372,50.633686,Dessert Shop
Arad,26.2512038,50.6326852,Jebel ALI Grill (مشويات جبل علي),26.25518168184526,50.631776413398114,Restaurant
Arad,26.2512038,50.6326852,Alnaeem Restaurant and Grills,26.255382482729114,50.63191311994475,Middle Eastern Restaurant
Arad,26.2512038,50.6326852,Burgerland,26.254946170011156,50.63013680205087,Burger Joint
Arad,26.2512038,50.6326852,مشويات النعيم,26.255230698874595,50.63202451068512,Turkish Restaurant
Arad,26.2512038,50.6326852,TEST THE BEST (تست ذَ بست),26.255388,50.632576,Burger Joint
Arad,26.2512038,50.6326852,الفرن اللبناني,26.256326562508175,50.63367514217374,Middle Eastern Restaurant
Arad,26.2512038,50.6326852,Al Karama Modern Bakery,26.255841670704793,50.63346248168524,Bakery
